PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
March,1998,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2000,30.3,6.0,0.0,48.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2001,66.0,3.0,0.0,11.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2002,52.9,6.0,0.0,40.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2003,60.3,10.0,0.0,93.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2004,27.8,11.0,0.0,66.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2005,27.8,15.0,0.0,49.0,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2006,0.0,16.0,0.0,82.8,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2007,37.9,8.0,0.0,40.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2008,50.6,9.0,0.0,26.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2009,42.6,11.0,0.0,25.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2011,47.5,11.0,0.0,46.4,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2012,39.0,11.0,0.0,37.7,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2013,43.8,7.0,0.0,43.9,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2015,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2016,63.4,4.0,0.0,29.6,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2017,44.8,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2018,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2019,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2020,,,0.0,,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2021,80.7,4.0,0.0,10.6,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2022,36.6,13.0,0.0,19.6,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
March,2023,21.3,16.0,0.0,96.2,4960,NIWA Station 4960,March,2025-08-01 09:46:31.021708,3
