PERIOD,year,mean_temperature_c,station_id,station_name,month_name,load_timestamp,month_number
May,1986,10.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1987,11.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1988,9.6,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1989,9.8,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1990,11.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1991,10.4,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1992,7.4,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1993,10.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1994,10.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1995,10.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1997,10.9,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1998,11.1,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,1999,12.2,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,2000,11.0,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,2001,9.6,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,2002,10.9,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,2003,10.7,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,2004,10.8,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
May,2005,10.5,4960,NIWA Station 4960,May,2025-08-01 09:46:31.030696,5
